D1D2D3D4D5D6D7D8D9D10D11	path
✓✓✓✓✓✓✓✓✓✓✓	docs/B03-design/design-system/99-extension-icons-imagery.md
✓✓✓✓✓✓✓✓✓✓✓	docs/B03-design/prototype-style/README.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C01-requirements/auth/99-open-questions.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C01-requirements/auth/_input/admin-draft.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C01-requirements/auth/_input/app-draft.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C01-requirements/auth/admin/notes.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C01-requirements/auth/app/notes.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C01-requirements/auth/baseline.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C01-requirements/auth/flows/admin-exception-flow.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C01-requirements/auth/flows/admin-main-flow.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C01-requirements/auth/flows/app-exception-flow.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C01-requirements/auth/flows/app-main-flow.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C01-requirements/course/99-open-questions.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C01-requirements/course/_input/draft.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C01-requirements/course/baseline.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C01-requirements/course/flows/exception-flow.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C01-requirements/course/flows/main-flow.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C01-requirements/discover-china/99-open-questions.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C01-requirements/discover-china/_input/draft.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C01-requirements/discover-china/baseline.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C01-requirements/discover-china/flows/exception-flow.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C01-requirements/discover-china/flows/main-flow.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C02-permissions/00-index.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C02-permissions/01-roles.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C02-permissions/02-authz-mechanism.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C02-permissions/03-data-model.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C02-permissions/99-open-questions.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C02-permissions/_input/roles-input.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C03-ia/auth/00-index.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C03-ia/auth/99-open-questions.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C03-ia/auth/_input/admin-page-direction.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C03-ia/auth/_input/app-page-direction.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C03-ia/auth/_shared/flows-shared.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C03-ia/auth/_shared/state-machines.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C03-ia/auth/admin/00-index.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C03-ia/auth/admin/01-feature-catalog.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C03-ia/auth/admin/02-flows.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C03-ia/auth/admin/03-state-machines.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C03-ia/auth/admin/04-pages.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C03-ia/auth/admin/05-navigation.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C03-ia/auth/admin/06-coverage-matrix.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C03-ia/auth/admin/07-error-pages.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C03-ia/auth/admin/99-open-questions.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C03-ia/auth/app/00-index.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C03-ia/auth/app/01-feature-catalog.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C03-ia/auth/app/02-flows.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C03-ia/auth/app/03-state-machines.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C03-ia/auth/app/04-pages.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C03-ia/auth/app/05-navigation.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C03-ia/auth/app/06-coverage-matrix.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C03-ia/auth/app/07-error-pages.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C03-ia/auth/app/99-open-questions.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C03-ia/course/00-index.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C03-ia/course/07-error-pages.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C03-ia/course/99-open-questions.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C03-ia/course/_input/draft.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C03-ia/course/_shared/flows-shared.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C03-ia/course/_shared/state-machines.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C03-ia/course/admin/00-index.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C03-ia/course/admin/01-feature-catalog.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C03-ia/course/admin/02-flows.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C03-ia/course/admin/04-pages.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C03-ia/course/admin/05-navigation.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C03-ia/course/admin/06-coverage-matrix.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C03-ia/course/admin/99-open-questions.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C03-ia/course/app/00-index.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C03-ia/course/app/01-feature-catalog.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C03-ia/course/app/02-flows.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C03-ia/course/app/04-pages.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C03-ia/course/app/05-navigation.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C03-ia/course/app/06-coverage-matrix.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C03-ia/course/app/99-open-questions.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C03-ia/discover-china/00-index.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C03-ia/discover-china/07-error-pages.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C03-ia/discover-china/99-open-questions.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C03-ia/discover-china/_input/page-direction.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C03-ia/discover-china/_shared/flows-shared.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C03-ia/discover-china/_shared/state-machines.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C03-ia/discover-china/admin/00-index.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C03-ia/discover-china/admin/01-feature-catalog.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C03-ia/discover-china/admin/02-flows.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C03-ia/discover-china/admin/04-pages.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C03-ia/discover-china/admin/05-navigation.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C03-ia/discover-china/admin/06-coverage-matrix.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C03-ia/discover-china/admin/99-open-questions.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C03-ia/discover-china/app/00-index.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C03-ia/discover-china/app/01-feature-catalog.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C03-ia/discover-china/app/02-flows.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C03-ia/discover-china/app/04-pages.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C03-ia/discover-china/app/05-navigation.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C03-ia/discover-china/app/06-coverage-matrix.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C03-ia/discover-china/app/99-open-questions.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C04-pages/auth/99-open-questions.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C04-pages/auth/_input/P-admin-auth-001-desc.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C04-pages/auth/_input/P-app-auth-001-desc.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C04-pages/auth/admin/00-index.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C04-pages/auth/admin/99-open-questions.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C04-pages/auth/admin/P-admin-auth-001.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C04-pages/auth/admin/P-admin-auth-002.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C04-pages/auth/admin/P-admin-auth-003.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C04-pages/auth/admin/P-admin-auth-004.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C04-pages/auth/app/00-index.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C04-pages/auth/app/99-open-questions.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C04-pages/auth/app/P-app-auth-001.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C04-pages/auth/app/P-app-auth-001.scenarios.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C04-pages/auth/app/P-app-auth-002.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C04-pages/auth/app/P-app-auth-003.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C04-pages/auth/app/P-app-auth-004.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C04-pages/auth/app/P-app-auth-005.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C04-pages/auth/app/P-app-auth-006.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C04-pages/auth/app/P-app-auth-007.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C04-pages/auth/app/P-app-auth-008.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C04-pages/auth/app/P-app-auth-009.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C04-pages/course/99-open-questions.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C04-pages/course/_input/draft.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C04-pages/course/admin/00-index.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C04-pages/course/admin/99-open-questions.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C04-pages/course/admin/P-admin-course-001.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C04-pages/course/admin/P-admin-course-002.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C04-pages/course/admin/P-admin-course-003.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C04-pages/course/admin/P-admin-course-004.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C04-pages/course/admin/P-admin-course-005.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C04-pages/course/admin/P-admin-course-006.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C04-pages/course/admin/P-admin-course-007.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C04-pages/course/admin/P-admin-course-008.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C04-pages/course/admin/P-admin-course-009.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C04-pages/course/app/00-index.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C04-pages/course/app/99-open-questions.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C04-pages/course/app/P-app-course-001.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C04-pages/course/app/P-app-course-002.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C04-pages/course/app/P-app-course-003.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C04-pages/course/app/P-app-course-004.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C04-pages/course/app/P-app-course-005.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C04-pages/course/app/P-app-course-006.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C04-pages/course/app/P-app-course-007.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C04-pages/course/app/P-app-course-008.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C04-pages/discover-china/99-open-questions.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C04-pages/discover-china/_input/desc.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C04-pages/discover-china/admin/00-index.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C04-pages/discover-china/admin/99-open-questions.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C04-pages/discover-china/admin/P-admin-discover-china-001.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C04-pages/discover-china/admin/P-admin-discover-china-002.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C04-pages/discover-china/admin/P-admin-discover-china-003.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C04-pages/discover-china/admin/P-admin-discover-china-004.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C04-pages/discover-china/app/00-index.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C04-pages/discover-china/app/99-open-questions.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C04-pages/discover-china/app/P-app-discover-china-001.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C04-pages/discover-china/app/P-app-discover-china-002.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C04-pages/discover-china/app/P-app-discover-china-003.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C05-prototype/auth/_input/admin-prototype-direction.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C05-prototype/auth/_input/app-prototype-direction.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C05-prototype/course/_input/draft.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C05-prototype/discover-china/_input/prototype-direction.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C06-prd/_global-index.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C06-prd/_glossary.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C06-prd/auth/99-open-questions.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C06-prd/auth/_input/admin-prd-context.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C06-prd/auth/_input/app-prd-context.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C06-prd/auth/_shared/business-rules.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C06-prd/auth/_shared/glossary.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C06-prd/auth/admin/00-index.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C06-prd/auth/admin/01-overview.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C06-prd/auth/admin/02-glossary.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C06-prd/auth/admin/03-personas.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C06-prd/auth/admin/04-feature-catalog.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C06-prd/auth/admin/05-user-journeys.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C06-prd/auth/admin/06-page-specs/00-index.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C06-prd/auth/admin/06-page-specs/P-admin-auth-001.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C06-prd/auth/admin/06-page-specs/P-admin-auth-002.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C06-prd/auth/admin/06-page-specs/P-admin-auth-003.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C06-prd/auth/admin/06-page-specs/P-admin-auth-004.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C06-prd/auth/admin/07-business-rules.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C06-prd/auth/admin/08-roles-permissions.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C06-prd/auth/admin/09-design-summary.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C06-prd/auth/admin/10-known-issues.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C06-prd/auth/admin/11-changelog.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C06-prd/auth/admin/99-open-questions.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C06-prd/auth/app/00-index.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C06-prd/auth/app/01-overview.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C06-prd/auth/app/02-glossary.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C06-prd/auth/app/03-personas.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C06-prd/auth/app/04-feature-catalog.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C06-prd/auth/app/05-user-journeys.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C06-prd/auth/app/06-page-specs/00-index.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C06-prd/auth/app/06-page-specs/P-app-auth-001.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C06-prd/auth/app/06-page-specs/P-app-auth-002.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C06-prd/auth/app/06-page-specs/P-app-auth-003.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C06-prd/auth/app/06-page-specs/P-app-auth-004.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C06-prd/auth/app/06-page-specs/P-app-auth-005.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C06-prd/auth/app/06-page-specs/P-app-auth-006.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C06-prd/auth/app/06-page-specs/P-app-auth-007.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C06-prd/auth/app/06-page-specs/P-app-auth-008.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C06-prd/auth/app/06-page-specs/P-app-auth-009.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C06-prd/auth/app/07-business-rules.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C06-prd/auth/app/08-roles-permissions.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C06-prd/auth/app/09-design-summary.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C06-prd/auth/app/10-known-issues.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C06-prd/auth/app/11-changelog.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C06-prd/auth/app/99-open-questions.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C06-prd/course/99-open-questions.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C06-prd/course/_input/draft.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C06-prd/course/_shared/business-rules.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C06-prd/course/_shared/glossary.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C06-prd/course/admin/00-index.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C06-prd/course/admin/01-overview.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C06-prd/course/admin/02-glossary.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C06-prd/course/admin/03-personas.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C06-prd/course/admin/04-feature-catalog.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C06-prd/course/admin/05-user-journeys.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C06-prd/course/admin/06-page-specs/00-index.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C06-prd/course/admin/06-page-specs/P-admin-course-001.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C06-prd/course/admin/06-page-specs/P-admin-course-002.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C06-prd/course/admin/06-page-specs/P-admin-course-003.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C06-prd/course/admin/06-page-specs/P-admin-course-004.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C06-prd/course/admin/06-page-specs/P-admin-course-005.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C06-prd/course/admin/06-page-specs/P-admin-course-006.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C06-prd/course/admin/06-page-specs/P-admin-course-007.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C06-prd/course/admin/06-page-specs/P-admin-course-008.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C06-prd/course/admin/06-page-specs/P-admin-course-009.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C06-prd/course/admin/07-business-rules.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C06-prd/course/admin/08-roles-permissions.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C06-prd/course/admin/09-design-summary.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C06-prd/course/admin/10-known-issues.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C06-prd/course/admin/11-changelog.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C06-prd/course/admin/99-open-questions.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C06-prd/course/app/00-index.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C06-prd/course/app/01-overview.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C06-prd/course/app/02-glossary.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C06-prd/course/app/03-personas.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C06-prd/course/app/04-feature-catalog.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C06-prd/course/app/05-user-journeys.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C06-prd/course/app/06-page-specs/00-index.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C06-prd/course/app/06-page-specs/P-app-course-001.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C06-prd/course/app/06-page-specs/P-app-course-002.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C06-prd/course/app/06-page-specs/P-app-course-003.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C06-prd/course/app/06-page-specs/P-app-course-004.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C06-prd/course/app/06-page-specs/P-app-course-005.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C06-prd/course/app/06-page-specs/P-app-course-006.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C06-prd/course/app/06-page-specs/P-app-course-007.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C06-prd/course/app/06-page-specs/P-app-course-008.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C06-prd/course/app/07-business-rules.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C06-prd/course/app/08-roles-permissions.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C06-prd/course/app/09-design-summary.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C06-prd/course/app/10-known-issues.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C06-prd/course/app/11-changelog.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C06-prd/course/app/99-open-questions.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C06-prd/discover-china/99-open-questions.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C06-prd/discover-china/_input/background.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C06-prd/discover-china/_shared/business-rules.md
